timestamp,ambient,prox
2000-1-1_0:15:2,131.25,0
2017-2-7_16:3:23,115.75,0
2017-2-7_16:3:24,126.25,0
2017-2-7_16:3:25,125.5,0
2017-2-7_16:3:26,126.0,0
2017-2-7_16:3:27,124.25,0
2017-2-7_16:3:28,121.5,0
2017-2-7_16:3:29,124.0,0
2017-2-7_16:3:30,121.0,0
2017-2-7_16:3:31,118.5,0
2017-2-7_16:3:32,118.5,0
2017-2-7_16:3:33,117.5,0
2017-2-7_16:3:34,116.75,0
2017-2-7_16:3:35,116.75,0
2017-2-7_16:3:36,119.5,0
2017-2-7_16:3:37,123.25,0
2017-2-7_16:3:38,123.5,0
2017-2-7_16:3:39,119.5,0
2017-2-7_16:3:40,124.0,0
2017-2-7_16:3:41,125.75,0
2017-2-7_16:3:42,125.0,0
2017-2-7_16:3:43,123.5,0
2017-2-7_16:3:44,120.5,0
2017-2-7_16:3:45,119.5,0
2017-2-7_16:3:46,119.5,0
2017-2-7_16:3:47,119.0,0
